Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Grassland,0,946,30,667,536,334,254,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Built-up,0,144,20,0,29,19,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Shrubland,0,74,2,84,82,18,13,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Forest,0,636,14,564,0,360,153,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Water,0,424,24,309,223,0,187,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Bareland,0,125,0,221,51,34,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Wetland,0,220,6,151,163,298,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Cropland,0,0,14,332,190,66,25,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LZR_M_R,Permanent_ice_and_snow,0,14,0,13,15,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Wetland,177,51,43,0,358,393,0,0,0,0,0,26
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Forest,242,217,169,0,0,641,101,0,0,0,0,178
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Shrubland,38,55,43,0,115,87,27,0,0,0,0,21
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Cropland,278,0,279,0,365,454,157,0,0,0,0,97
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Built-up,175,225,220,0,415,496,68,0,0,0,0,52
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Water,132,18,79,0,363,0,172,0,0,0,0,29
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Bareland,11,13,0,0,24,59,3,0,0,0,0,20
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LZR_M_R,Grassland,0,212,223,0,449,520,224,0,0,0,0,146
