Dataset,MajorityClass,Grassland,Forest,Bareland,Built-up,Wetland,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Grassland,0,0,0,0,0,0,118,0,0,62,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Bareland,0,0,0,0,0,0,97,0,0,72,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Water,0,0,0,0,0,0,0,0,0,549,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Cropland,0,0,0,0,0,0,7,0,0,3,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Wetland,0,0,0,0,0,0,223,0,0,211,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Forest,0,0,0,0,0,0,291,0,0,260,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MHU_M_R,Built-up,0,0,0,0,0,0,47,0,0,15,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Grassland,0,378,106,156,153,273,46,565,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Bareland,81,71,0,95,112,191,20,196,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Water,205,351,179,72,640,120,0,560,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Forest,623,0,198,253,501,337,203,850,0,0,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Wetland,35,95,33,5,0,10,18,113,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Built-up,145,124,33,0,50,149,16,285,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Cropland,156,211,11,73,20,0,4,304,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Shrubland,13,21,6,11,0,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MHU_M_R,Permanent_ice_and_snow,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Grassland,0,239,16,342,11,739,198,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Forest,0,0,6,644,67,662,516,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Shrubland,0,52,0,86,2,109,30,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Built-up,0,24,17,0,0,47,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Wetland,0,115,12,135,0,136,298,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Bareland,0,58,0,152,0,100,50,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Water,0,58,47,155,13,148,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Cropland,0,33,1,64,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MHU_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Wetland,134,447,37,0,0,55,176,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Forest,158,0,105,0,33,212,126,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Shrubland,51,135,16,0,11,79,29,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Cropland,62,78,41,0,0,0,9,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Water,35,467,90,0,128,27,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Bareland,6,52,0,0,3,36,20,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Built-up,24,210,84,0,1,147,53,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22MHU_M_R,Grassland,0,394,139,0,73,259,161,0,0,0,0,3
