Dataset,MajorityClass,Grassland,Forest,Wetland,Cropland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXB_M_R,Forest,0,0,0,0,0,0,258,0,0,199,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Grassland,0,262,72,442,24,73,82,438,0,0,15
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Forest,108,0,224,487,97,59,171,558,0,0,4
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Wetland,33,324,0,176,56,2,108,258,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Cropland,5,87,2,0,0,37,19,180,0,0,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Bareland,0,5,25,64,0,19,1,27,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Water,4,339,312,287,64,22,0,237,0,0,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Shrubland,7,11,0,14,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXB_M_R,Built-up,0,9,0,39,0,0,1,14,0,0,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Grassland,0,197,96,368,6,100,57,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Forest,0,0,285,304,1,152,302,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Shrubland,0,45,4,77,0,27,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Wetland,0,187,0,97,5,25,151,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Bareland,0,6,0,13,0,12,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Built-up,0,1,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Water,0,168,251,77,30,57,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXB_M_R,Cropland,0,26,3,0,2,40,0,0,0,0,0
