Dataset,MajorityClass,Wetland,Grassland,Water,Bareland,Forest,Built-up,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Wetland,0,94,226,9,9,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Bareland,4,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Built-up,19,19,4,45,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MLA_M_R,Cropland,7,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Wetland,0,0,32,0,0,0,390,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Forest,124,0,35,0,0,0,780,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Water,223,0,0,0,0,0,520,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Shrubland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Grassland,12,0,3,0,0,0,169,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Bareland,0,0,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Built-up,2,0,0,0,0,0,45,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MLA_M_R,Cropland,0,0,0,0,0,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Wetland,0,0,370,0,0,0,0,185,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MLA_M_R,Grassland,0,0,62,0,0,0,0,20,0,0,0,0
