Dataset,MajorityClass,Non_Wetland,Wetland,Water,Forest,Bareland,Shrubland,Grassland,Built-up,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Wetland,0,0,212,310,16,0,0,26,53,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Water,0,137,0,166,49,0,0,10,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Bareland,0,1,19,5,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Forest,0,26,109,0,0,0,0,54,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Built-up,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Cropland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NDJ_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Wetland,0,0,354,396,81,0,176,0,109,0,59
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Water,0,66,0,233,75,0,19,0,42,0,24
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Forest,0,11,254,0,28,0,56,0,83,0,68
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Bareland,0,2,16,9,0,0,4,0,5,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Grassland,0,9,75,50,9,0,0,0,29,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Shrubland,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NDJ_M_R,Built-up,0,0,23,2,0,0,0,0,0,0,0
