Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Bareland,0,204,0,82,24,20,21,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Forest,0,543,0,221,257,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Shrubland,0,141,0,58,72,91,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Built-up,0,50,7,0,5,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Water,0,40,15,52,0,40,72,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Wetland,0,6,0,9,69,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Cropland,0,0,1,81,6,100,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LRD_M_R,Permanent_ice_and_snow,0,1,0,4,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Forest,138,180,142,0,34,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Shrubland,63,85,74,0,57,242,33,0,0,0,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Water,52,36,19,0,0,386,152,0,0,0,0,64
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Cropland,62,0,111,0,18,126,7,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Wetland,9,12,5,0,31,159,0,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Built-up,6,95,69,0,7,137,0,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Grassland,0,157,153,0,100,328,84,0,0,0,0,63
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LRD_M_R,Bareland,0,53,0,0,15,32,4,0,0,0,0,31
