Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Water,Non_Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Bareland,101,0,0,74,2,0,234,120,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Built-up,44,0,149,0,4,0,37,79,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Water,85,0,332,53,4,0,0,385,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Forest,205,0,202,69,0,0,111,629,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Non_Water,1,0,0,0,0,0,5,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Wetland,34,0,99,2,1,0,146,148,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Lichens_and_Mosses,2,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVQ_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Grassland,0,7,46,5,20,0,10,119,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Bareland,80,1,0,68,4,0,71,111,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Built-up,65,3,152,0,4,0,7,104,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Non_Wetland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVQ_M_R,Non_Water,1,0,2,0,0,0,4,1,0,0,0,0
