Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LUN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LUN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LUN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LUN_M_R
9563,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Wetland
9564,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,NULL,Forest
9565,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,NULL
9566,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Grassland
9567,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Water
9568,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Shrubland,Forest
9569,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Built-up,Wetland
9570,Wetland,NULL,Forest,NULL,Non_Wetland,Forest,Water,Wetland
9571,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
9572,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
9573,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
9574,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
9575,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
9576,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,NULL
9577,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
9578,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
9579,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Shrubland,Forest
9580,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Grassland
9581,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Wetland
9582,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland,Bareland
9583,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Cropland
9584,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Water,Wetland
9585,Wetland,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest,Wetland
9586,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,NULL
9587,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
9588,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
9589,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
9590,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9591,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9592,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
9593,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,NULL
9594,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9595,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Water,Forest
9596,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
9597,Wetland,NULL,Forest,Non_Water,Non_Wetland,Shrubland,Forest,Wetland
9598,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9599,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
9600,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
9601,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
9602,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,NULL
9603,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9604,Wetland,NULL,Forest,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
9605,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
9606,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Shrubland,Cropland
9607,Wetland,NULL,Forest,Non_Water,Non_Wetland,Bareland,Water,Cropland
9608,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Grassland
9609,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Wetland
9610,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,NULL,Forest
9611,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Grassland
9612,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Shrubland,Forest
9613,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Grassland
9614,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Grassland,Wetland
9615,Wetland,NULL,Forest,Non_Water,Non_Wetland,Water,Forest,Water
9616,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,NULL
9617,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Cropland
9618,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Wetland
9619,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,NULL,Water
9620,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,NULL
9621,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
9622,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
9623,Wetland,NULL,Forest,Non_Water,Non_Wetland,Forest,Shrubland,Forest
9624,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Cropland
9625,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Shrubland,Wetland
9626,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Grassland,Water
9627,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Water,Wetland
9628,Wetland,NULL,Forest,Water,Non_Wetland,NULL,Water,Water
9629,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Grassland
9630,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,NULL,Forest
9631,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,NULL
9632,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Grassland
9633,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,Shrubland,Forest
9634,Wetland,NULL,Forest,Water,Non_Wetland,Shrubland,Water,Forest
9635,Wetland,NULL,Forest,Water,Non_Wetland,Water,NULL,Wetland
9636,Wetland,NULL,Forest,Water,Non_Wetland,Water,NULL,Water
9637,Wetland,NULL,Forest,Water,Non_Wetland,Water,Shrubland,Forest
9638,Wetland,NULL,Forest,Water,Non_Wetland,Water,Forest,Wetland
9639,Wetland,NULL,Forest,Water,Non_Wetland,Water,Forest,Water
9640,Wetland,NULL,Forest,Water,Non_Wetland,Forest,NULL,Grassland
9641,Wetland,NULL,Forest,Water,Non_Wetland,Forest,Shrubland,NULL
9642,Wetland,NULL,Forest,Water,Non_Wetland,Forest,Shrubland,Grassland
9643,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
9644,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
9645,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
9646,Wetland,Cropland,NULL,NULL,Non_Wetland,NULL,Water,Wetland
9647,Wetland,Cropland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9648,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9649,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9650,Wetland,Cropland,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
9651,Wetland,Cropland,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
9652,Wetland,Cropland,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
9653,Wetland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
9654,Wetland,Cropland,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
9655,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
9656,Wetland,Cropland,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
9657,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9658,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
9659,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
9660,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9661,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
9662,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Bareland,Water,Wetland
9663,Wetland,Cropland,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
9664,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
9665,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
9666,Wetland,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9667,Wetland,Cropland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9668,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
9669,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
9670,Wetland,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
9671,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9672,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9673,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9674,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9675,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9676,Wetland,Cropland,Cropland,NULL,Non_Wetland,Shrubland,Water,Wetland
9677,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
9678,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9679,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
9680,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
9681,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9682,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9683,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
9684,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
9685,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9686,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9687,Wetland,Cropland,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
9688,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
9689,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
9690,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
9691,Wetland,Cropland,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
9692,Wetland,Cropland,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
9693,Wetland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
9694,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
9695,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
9696,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Water,Water
9697,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
9698,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9699,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
9700,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
9701,Wetland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
9702,Wetland,Cropland,Cropland,Water,Non_Wetland,Shrubland,Water,Wetland
9703,Wetland,Cropland,Wetland,NULL,Wetland,Shrubland,Shrubland,Wetland
9704,Wetland,Cropland,Wetland,NULL,Wetland,Grassland,Shrubland,Wetland
9705,Wetland,Cropland,Wetland,NULL,Wetland,Forest,Shrubland,NULL
9706,Wetland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Shrubland,Wetland
9707,Wetland,Cropland,Wetland,Non_Water,Wetland,Shrubland,Water,Wetland
9708,Wetland,Cropland,Wetland,Water,Wetland,Shrubland,Water,Wetland
9709,Wetland,Cropland,Forest,NULL,Non_Wetland,Grassland,Water,NULL
9710,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
9711,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,NULL
9712,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
9713,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Shrubland,Wetland
9714,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
9715,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
9716,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Water,Wetland
9717,Wetland,Wetland,NULL,NULL,Non_Wetland,NULL,Forest,Wetland
9718,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
9719,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9720,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9721,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9722,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9723,Wetland,Wetland,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
9724,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
9725,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9726,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
9727,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9728,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9729,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
9730,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
9731,Wetland,Wetland,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
9732,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
9733,Wetland,Wetland,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
9734,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
9735,Wetland,Wetland,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
9736,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
9737,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9738,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9739,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
9740,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
9741,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
9742,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
9743,Wetland,Wetland,NULL,Non_Water,Non_Wetland,Forest,Forest,Wetland
9744,Wetland,Wetland,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
9745,Wetland,Wetland,NULL,Water,Non_Wetland,Grassland,Shrubland,NULL
9746,Wetland,Wetland,NULL,Water,Non_Wetland,Forest,Shrubland,Water
9747,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
9748,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
9749,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
9750,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9751,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
9752,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
9753,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
9754,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
9755,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
9756,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water,Water
9757,Wetland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
9758,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9759,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9760,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9761,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
9762,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
9763,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9764,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9765,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9766,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
9767,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
9768,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
9769,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Grassland
9770,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Wetland
9771,Wetland,Wetland,Shrubland,NULL,Non_Wetland,Forest,Shrubland,Forest
9772,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
9773,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
9774,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
9775,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
9776,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9777,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Shrubland,Water,Wetland
9778,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
9779,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
9780,Wetland,Wetland,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Water
9781,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Shrubland,Water
9782,Wetland,Wetland,Shrubland,Water,Non_Wetland,NULL,Water,Wetland
9783,Wetland,Wetland,Shrubland,Water,Non_Wetland,Shrubland,Shrubland,NULL
9784,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Shrubland,Wetland
9785,Wetland,Wetland,Shrubland,Water,Non_Wetland,Water,Water,Water
9786,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,NULL
9787,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Wetland
9788,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,Shrubland,Forest
9789,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9790,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9791,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9792,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Water,Forest
9793,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Wetland
9794,Wetland,Wetland,Grassland,NULL,Non_Wetland,Shrubland,Forest,Forest
9795,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9796,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9797,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9798,Wetland,Wetland,Grassland,NULL,Non_Wetland,Grassland,Forest,Wetland
9799,Wetland,Wetland,Grassland,NULL,Non_Wetland,Forest,Shrubland,NULL
9800,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9801,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
9802,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
9803,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
9804,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
9805,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
9806,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
9807,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
9808,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
9809,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
9810,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
9811,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Wetland
9812,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Shrubland,Water
9813,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
9814,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
9815,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Water,Wetland
9816,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Water,Water
9817,Wetland,Wetland,Cropland,NULL,Non_Wetland,NULL,Forest,Wetland
9818,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
9819,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
9820,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
9821,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9822,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
9823,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
9824,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
9825,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
9826,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
9827,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
9828,Wetland,Wetland,Cropland,NULL,Non_Wetland,Shrubland,Forest,Wetland
9829,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
9830,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
9831,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
9832,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Wetland
9833,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,NULL
9834,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
9835,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
9836,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
9837,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
9838,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
9839,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Wetland
9840,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,NULL
9841,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
9842,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Cropland
9843,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Water,Water
9844,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,NULL
9845,Wetland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Forest,Wetland
9846,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,NULL
9847,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
9848,Wetland,Wetland,Cropland,NULL,Non_Wetland,Bareland,Shrubland,NULL
9849,Wetland,Wetland,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
9850,Wetland,Wetland,Cropland,NULL,Non_Wetland,Water,Grassland,Wetland
9851,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest,Shrubland,NULL
9852,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Wetland
9853,Wetland,Wetland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
9854,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
9855,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
9856,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,NULL
9857,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
9858,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
9859,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Water,Wetland
9860,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Forest,Wetland
9861,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
9862,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
9863,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
9864,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
9865,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
9866,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
9867,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
9868,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
9869,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Grassland,Forest,Wetland
9870,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,NULL,NULL
9871,Wetland,Wetland,Cropland,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
