Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LCL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LCL_M_R
6080,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Cropland
6081,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,NULL,Forest
6082,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Shrubland,Forest
6083,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
6084,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
6085,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Grassland
6086,Cropland,Cropland,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
6087,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Water,Cropland
6088,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
6089,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
6090,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
6091,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
6092,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Grassland,Water,Cropland
6093,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Grassland
6094,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Cropland,NULL,Cropland
6095,Cropland,Cropland,Cropland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
6096,Cropland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
6097,Cropland,Cropland,Cropland,Water,Non_Wetland,Shrubland,NULL,Grassland
6098,Cropland,Cropland,Cropland,Water,Non_Wetland,Grassland,NULL,Grassland
6099,Cropland,Cropland,Cropland,Water,Non_Wetland,Cropland,Water,Grassland
6100,Cropland,Cropland,Wetland,NULL,Wetland,NULL,Water,Grassland
6101,Cropland,Cropland,Wetland,NULL,Wetland,Grassland,Grassland,Grassland
6102,Cropland,Cropland,Wetland,NULL,Wetland,Cropland,Water,Bareland
6103,Cropland,Cropland,Wetland,Non_Water,Wetland,Grassland,Grassland,Grassland
6104,Cropland,Cropland,Wetland,Water,Wetland,Cropland,Water,Grassland
6105,Cropland,Cropland,Wetland,Water,Wetland,Cropland,Water,Bareland
6106,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Grassland
6107,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Cropland
6108,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,NULL,Bareland
6109,Cropland,Cropland,Bareland,NULL,Non_Wetland,Grassland,Grassland,Cropland
6110,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Grassland
6111,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Cropland
6112,Cropland,Cropland,Bareland,NULL,Non_Wetland,Cropland,NULL,Bareland
6113,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Grassland
6114,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Cropland
6115,Cropland,Cropland,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
6116,Cropland,Cropland,Bareland,NULL,Non_Wetland,Water,NULL,Grassland
6117,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
6118,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
6119,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
6120,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
6121,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Shrubland,Built-up
6122,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
6123,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Cropland
6124,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
6125,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
6126,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
6127,Cropland,Cropland,Built-up,NULL,Non_Wetland,NULL,Bareland,Bareland
6128,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
6129,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
6130,Cropland,Cropland,Built-up,NULL,Non_Wetland,Shrubland,Grassland,Forest
6131,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
6132,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
6133,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Bareland
6134,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
6135,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
6136,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
6137,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Built-up
6138,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,NULL
6139,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
6140,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
6141,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
6142,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
6143,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Cropland
6144,Cropland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
