Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KRS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KRS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KRS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KRS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KRS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KRS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KRS_M_R
4022,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
4023,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
4024,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
4025,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Built-up
4026,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Water
4027,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
4028,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
4029,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
4030,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4031,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4032,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4033,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
4034,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4035,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4036,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4037,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Water
4038,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4039,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4040,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
4041,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4042,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4043,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
4044,Grassland,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
4045,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
4046,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
4047,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
4048,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
4049,Grassland,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
4050,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4051,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4052,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
4053,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4054,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4055,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4056,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Water
4057,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4058,Grassland,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
4059,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
4060,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
4061,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
4062,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
4063,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
4064,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
4065,Grassland,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
4066,Grassland,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
4067,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
4068,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
4069,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
4070,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
4071,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
4072,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
4073,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
4074,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
4075,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
4076,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
4077,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Forest
4078,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
4079,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Cropland
4080,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
4081,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Water
4082,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Forest
4083,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
4084,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Cropland
4085,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
4086,Grassland,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
4087,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
4088,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Cropland
4089,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Wetland
4090,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
4091,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
4092,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
4093,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
4094,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
4095,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
4096,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
4097,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Cropland
4098,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
4099,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Forest
4100,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
4101,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
4102,Grassland,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
4103,Grassland,NULL,NULL,Water,Non_Wetland,Cropland,NULL,Cropland
4104,Grassland,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Wetland
4105,Grassland,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
4106,Grassland,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Wetland
4107,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
4108,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
4109,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
4110,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
4111,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
4112,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
4113,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Cropland
4114,Grassland,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
4115,Grassland,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
4116,Grassland,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
4117,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
4118,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Cropland
4119,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
4120,Grassland,NULL,NULL,Water,Non_Wetland,Water,Grassland,Forest
4121,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
4122,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Cropland
4123,Grassland,NULL,NULL,Water,Non_Wetland,Water,Water,Water
4124,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
4125,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4126,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4127,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4128,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
4129,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4130,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4131,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4132,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4133,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
4134,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
4135,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4136,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
4137,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
4138,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4139,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
4140,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
4141,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
4142,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Water
4143,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
4144,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4145,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
4146,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Cropland
4147,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Wetland
4148,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
4149,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
4150,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
4151,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Cropland
4152,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
4153,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
4154,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Water
4155,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4156,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
4157,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
4158,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4159,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
4160,Grassland,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
4161,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4162,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4163,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
4164,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4165,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4166,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
4167,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
4168,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4169,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4170,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
4171,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4172,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4173,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
4174,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4175,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
4176,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
4177,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
4178,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Water
4179,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
4180,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4181,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
4182,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4183,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4184,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
4185,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4186,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
4187,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4188,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
4189,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
4190,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
4191,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
4192,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
4193,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4194,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4195,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
4196,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Built-up
4197,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
4198,Grassland,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
4199,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
4200,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
4201,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
4202,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
4203,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
4204,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
4205,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
4206,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4207,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
4208,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
4209,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
4210,Grassland,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
4211,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
4212,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
4213,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4214,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
4215,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4216,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4217,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
4218,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
4219,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
4220,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
4221,Grassland,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4222,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4223,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4224,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4225,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
4226,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4227,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4228,Grassland,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
4229,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
4230,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Water
4231,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
4232,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
4233,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
4234,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
4235,Grassland,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
4236,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
4237,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
4238,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4239,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Bareland
4240,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
4241,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Grassland
4242,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
4243,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Grassland
4244,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
4245,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Bareland
4246,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
4247,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
4248,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
4250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
4251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Grassland
4252,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Cropland
4253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Wetland
4254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Water
4255,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland,Forest
4256,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Grassland
4257,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Cropland
4258,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Wetland
4259,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Water
4260,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland,Forest
4261,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Grassland
4262,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water,Wetland
4263,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4264,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Cropland
4265,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
4266,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Forest
4267,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4268,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
4269,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
4270,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Water
4271,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
4272,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
4273,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
4274,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
4275,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Water
4276,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
4277,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Grassland
4278,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Water,Forest
4279,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,NULL,Wetland
4280,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Grassland,Wetland
4281,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
4282,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
4283,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
4284,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Forest
4285,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
4286,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
4287,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
4288,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Water
4289,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
4290,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
4291,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
4292,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Grassland
4293,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Water,NULL,Water
4294,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Forest,NULL,Forest
4295,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
4296,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
4297,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
4298,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
4299,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
4300,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Grassland
4301,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Cropland
4302,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Wetland
4303,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Water
4304,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland,Forest
4305,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Grassland
4306,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Cropland
4307,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Wetland
4308,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Water
4309,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland,Forest
4310,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Grassland
4311,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Cropland
4312,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,Water,Wetland
4313,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Grassland
4314,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Cropland
4315,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Wetland
4316,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Water
4317,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,NULL,Forest
4318,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
4319,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Cropland
4320,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
4321,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Water
4322,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Forest
4323,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
4324,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Cropland
4325,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
4326,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
4327,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Forest
4328,Grassland,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
4329,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Grassland,Grassland
4330,Grassland,NULL,Shrubland,Water,Non_Wetland,Cropland,Wetland,Wetland
4331,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,NULL,Wetland
4332,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Wetland
4333,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
4334,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
4335,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Cropland
4336,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
4337,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Water
4338,Grassland,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Cropland
