Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Grassland,0,611,3,271,235,623,150,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Forest,0,457,0,214,621,0,460,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Shrubland,0,158,0,99,110,230,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Bareland,0,53,0,79,23,29,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Built-up,0,53,5,0,2,46,4,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Water,0,214,6,174,0,416,252,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Cropland,0,0,2,107,28,171,15,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Wetland,0,30,0,8,177,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LUM_M_R,Permanent_ice_and_snow,0,30,0,1,2,31,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Water,40,71,68,0,0,563,170,0,0,0,0,35
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Forest,207,225,122,0,814,0,127,0,0,0,0,173
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Shrubland,98,102,66,0,360,267,106,0,0,0,0,76
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Cropland,65,0,63,0,303,173,98,0,0,0,0,52
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Bareland,13,37,0,0,102,33,23,0,0,0,0,15
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Built-up,53,95,50,0,529,193,10,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Wetland,24,21,16,0,184,240,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24LUM_M_R,Grassland,0,210,159,0,544,356,211,0,0,0,0,138
