Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NYG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NYG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NYG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NYG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18NYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18NYG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NYG_M_R
352,Forest,Water,Built-up,Water,Non_Wetland,NULL,NULL,Forest
353,Forest,Water,Water,NULL,Water,NULL,NULL,Grassland
354,Forest,Water,Water,NULL,Water,NULL,NULL,Water
355,Forest,Water,Water,NULL,Water,NULL,NULL,Forest
356,Forest,Water,Water,Non_Water,Water,NULL,NULL,Water
357,Forest,Water,Water,Non_Water,Water,NULL,NULL,Forest
358,Forest,Water,Water,Water,Water,NULL,NULL,Grassland
359,Forest,Water,Water,Water,Water,NULL,NULL,Water
360,Forest,Water,Water,Water,Water,NULL,NULL,Forest
361,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
362,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
363,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
364,Forest,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
365,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
366,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
367,Forest,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
368,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Grassland
369,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
370,Forest,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
371,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
372,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
373,Forest,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
374,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
375,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
376,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
377,Forest,Forest,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
378,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
379,Forest,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
380,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
381,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
382,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Water
383,Forest,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
384,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
385,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
386,Forest,Forest,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
387,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
388,Forest,Forest,Grassland,Water,Non_Wetland,NULL,NULL,Forest
389,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
390,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
391,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
392,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
393,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Water
394,Forest,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
395,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,NULL
396,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
397,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Water
398,Forest,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Forest
399,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
400,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Water
401,Forest,Forest,Wetland,Water,Wetland,NULL,NULL,Forest
402,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
403,Forest,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
404,Forest,Forest,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
405,Forest,Forest,Water,NULL,Water,NULL,NULL,Grassland
406,Forest,Forest,Water,NULL,Water,NULL,NULL,Water
407,Forest,Forest,Water,NULL,Water,NULL,NULL,Forest
408,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
409,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Water
410,Forest,Forest,Water,Non_Water,Water,NULL,NULL,Forest
411,Forest,Forest,Water,Water,Water,NULL,NULL,Grassland
412,Forest,Forest,Water,Water,Water,NULL,NULL,Water
413,Forest,Forest,Water,Water,Water,NULL,NULL,Forest
414,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
415,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
416,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
417,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Water
418,Forest,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
419,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
420,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
421,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
422,Forest,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
423,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
424,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
425,Forest,Forest,Forest,Water,Non_Wetland,NULL,NULL,Forest
