Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Wetland,118,0,13,0,499,1,86,325,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Forest,536,121,0,347,909,40,114,898,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Water,224,0,189,217,1046,38,0,590,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Non_Water,0,0,0,0,1,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Shrubland,94,17,14,51,119,10,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Bareland,64,11,0,3,0,11,4,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Cropland,406,0,75,46,303,53,11,203,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Built-up,111,9,8,3,148,0,1,71,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LCJ_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Grassland,0,0,0,0,0,0,106,0,0,88,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Wetland,0,0,0,0,0,0,231,0,0,183,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Bareland,0,0,0,0,0,0,22,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Shrubland,0,0,0,0,0,0,35,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Water,0,0,0,0,0,0,0,0,0,598,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Cropland,0,0,0,0,0,0,16,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Forest,0,0,0,0,0,0,198,0,0,215,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LCJ_M_R,Built-up,0,0,0,0,0,0,9,0,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Grassland,0,550,325,80,21,96,85,613,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Wetland,0,54,251,0,12,2,111,223,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Bareland,3,278,35,14,0,98,43,221,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Forest,188,649,0,219,84,126,182,733,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Cropland,66,0,162,0,5,72,4,301,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Water,8,387,342,341,107,53,0,520,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Built-up,10,152,26,1,0,0,14,137,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Shrubland,10,39,41,0,2,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LCJ_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Grassland,0,723,271,4,29,130,122,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Forest,0,485,0,78,0,253,462,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Shrubland,0,186,95,13,0,67,63,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Wetland,0,224,138,0,0,5,139,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Bareland,0,141,73,0,0,119,82,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Water,0,211,146,88,13,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Built-up,0,44,6,0,4,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Cropland,0,0,67,0,16,65,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LCJ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCJ_M_R,Forest,127,111,0,50,49,0,93,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCJ_M_R,Shrubland,85,60,214,57,41,0,67,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCJ_M_R,Wetland,141,5,270,0,17,0,137,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LCJ_M_R,Cropland,125,0,168,8,147,0,28,0,0,0,0,3
