Dataset,MajorityClass,Wetland,Shrubland,Grassland,Forest,Bareland,Water,Built-up,Non_Wetland,Non_Water,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Non_Wetland,5,0,2,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Wetland,0,0,85,6,8,113,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Forest,242,0,335,0,18,135,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Grassland,54,0,0,1,15,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Bareland,4,0,7,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Shrubland,5,0,7,0,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Cropland,2,0,3,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Built-up,12,0,17,0,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,Water,81,0,115,51,13,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Grassland,14,0,0,0,0,0,0,110,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Wetland,0,0,0,0,0,3,0,154,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Forest,144,0,0,0,0,49,0,503,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Water,239,0,0,0,0,0,0,165,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Shrubland,0,0,0,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0,0
