Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KPS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KPS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KPS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KPS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KPS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KPS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KPS_M_R
4008,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
4009,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
4010,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
4011,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
4012,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
4013,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Water,Grassland
4014,Grassland,Cropland,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
4015,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
4016,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,NULL,Cropland
4017,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
4018,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Grassland,Cropland
4019,Grassland,Cropland,Built-up,NULL,Non_Wetland,Cropland,Forest,Grassland
4020,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Cropland
4021,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
4022,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4023,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
4024,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
4025,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
4026,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
4027,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
4028,Grassland,Cropland,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
4029,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
4030,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
4031,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
4032,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Cropland
4033,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
4034,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
4035,Grassland,Cropland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4036,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest,NULL,Grassland
4037,Grassland,Cropland,Built-up,NULL,Non_Wetland,Forest,Built-up,Grassland
4038,Grassland,Cropland,Built-up,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
4039,Grassland,Cropland,Water,Water,Water,Grassland,Water,Grassland
4040,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4041,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
4042,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4043,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4044,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Cropland
4045,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4046,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Grassland
4047,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Cropland
4048,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,Forest,Forest
4049,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Grassland
4050,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,NULL,Forest
4051,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4052,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Grassland
4053,Grassland,Cropland,Forest,NULL,Non_Wetland,Shrubland,Grassland,Forest
4054,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4055,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Cropland
4056,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Bareland
4057,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4058,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4059,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4060,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4061,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4062,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Cropland
4063,Grassland,Cropland,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
4064,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Grassland
4065,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Cropland
4066,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,NULL,Forest
4067,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Grassland
4068,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Cropland
4069,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Grassland,Forest
4070,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Grassland
4071,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Cropland
4072,Grassland,Cropland,Forest,NULL,Non_Wetland,Cropland,Forest,Forest
4073,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,NULL,Grassland
4074,Grassland,Cropland,Forest,NULL,Non_Wetland,Wetland,Grassland,Grassland
4075,Grassland,Cropland,Forest,NULL,Non_Wetland,Bareland,NULL,Built-up
4076,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
4077,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
4078,Grassland,Cropland,Forest,NULL,Non_Wetland,Built-up,Forest,Forest
4079,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Grassland
4080,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Cropland
4081,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4082,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Grassland
4083,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Cropland
4084,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4085,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Bareland,Forest
4086,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Grassland
4087,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Cropland
4088,Grassland,Cropland,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4089,Grassland,Cropland,Forest,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4090,Grassland,Wetland,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4091,Grassland,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4092,Grassland,Wetland,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
4093,Grassland,Wetland,Shrubland,Non_Water,Non_Wetland,Water,Water,Forest
4094,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4095,Grassland,Wetland,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4096,Grassland,Wetland,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4097,Grassland,Bareland,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4098,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4099,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
4100,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4101,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4102,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland,Built-up
4103,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
4104,Grassland,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland,Built-up
4105,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4106,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4107,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
4108,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4109,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4110,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
4111,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
4112,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
4113,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4114,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
4115,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
4116,Grassland,Built-up,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
4117,Grassland,Built-up,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
4118,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
4119,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
4120,Grassland,Built-up,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
4121,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
4122,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
4123,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
4124,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
4125,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
4126,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
4127,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
4128,Grassland,Built-up,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
4129,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
4130,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
4131,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
4132,Grassland,Built-up,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
4133,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4134,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
4135,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
4136,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4137,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4138,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
4139,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
4140,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4141,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
4142,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
4143,Grassland,Built-up,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
4144,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
4145,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4146,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
4147,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
4148,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
4149,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4150,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4151,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4152,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
4153,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4154,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4155,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
4156,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
4157,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
4158,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
4159,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
4160,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
4161,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Built-up
4162,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
4163,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4164,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4165,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4166,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4167,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
4168,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
4169,Grassland,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
4170,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
4171,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
4172,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
4173,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
4174,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
4175,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
4176,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
4177,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
4178,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
4179,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
4180,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Built-up
4181,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
4182,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
4183,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
4184,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
4185,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
4186,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
4187,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
4188,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
4189,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
4190,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
4191,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
4192,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
4193,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Cropland
4194,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
4195,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
4196,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
4197,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
4198,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
4199,Grassland,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
4200,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
4201,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Built-up
4202,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
4203,Grassland,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
4204,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
4205,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Bareland
4206,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Built-up
4207,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
4208,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Cropland
4209,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
4210,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
4211,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Cropland
4212,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
4213,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
4214,Grassland,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
4215,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,NULL,Grassland
4216,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Grassland
4217,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Cropland
4218,Grassland,Built-up,Cropland,NULL,Non_Wetland,Forest,Grassland,Forest
4219,Grassland,Built-up,Cropland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
4220,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
4221,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
4222,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
4223,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
4224,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Grassland
4225,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Bareland
4226,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Built-up
4227,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
4228,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Grassland
4229,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Built-up
4230,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Grassland
4231,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Cropland
4232,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Built-up
4233,Grassland,Built-up,Built-up,NULL,Non_Wetland,NULL,Water,Grassland
4234,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
4235,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Cropland
4236,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Built-up
4237,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
4238,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
4239,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Cropland
4240,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
4241,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
4242,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
4243,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
4244,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
4245,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Cropland
4246,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
4247,Grassland,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
4248,Grassland,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Grassland
4249,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
4250,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
4251,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
4252,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
4253,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
4254,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
4255,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
4256,Grassland,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
4257,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
4258,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Built-up
4259,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Forest
4260,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
4261,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
4262,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
4263,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
4264,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
4265,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
4266,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
4267,Grassland,Built-up,Built-up,NULL,Non_Wetland,Built-up,Water,Grassland
4268,Grassland,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Grassland
4269,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
4270,Grassland,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
4271,Grassland,Built-up,Water,NULL,Water,Grassland,Grassland,Grassland
4272,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
4273,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
4274,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Grassland
4275,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Built-up
4276,Grassland,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
4277,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Grassland
4278,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,NULL,Forest
4279,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
4280,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Cropland
4281,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
4282,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
4283,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
4284,Grassland,Built-up,Forest,NULL,Non_Wetland,Built-up,NULL,Forest
4285,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,NULL,Forest
4286,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Grassland,Forest
4287,Grassland,Built-up,Forest,NULL,Non_Wetland,Forest,Forest,Forest
4288,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
4289,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
4290,Grassland,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4291,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4292,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
4293,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Grassland
4294,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Bareland
4295,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Water
4296,Grassland,Water,NULL,NULL,Non_Wetland,NULL,Water,Forest
4297,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4298,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
4299,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4300,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4301,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
4302,Grassland,Water,NULL,NULL,Non_Wetland,Grassland,Water,Forest
4303,Grassland,Water,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
4304,Grassland,Water,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
4305,Grassland,Water,NULL,NULL,Non_Wetland,Water,Grassland,Forest
4306,Grassland,Water,NULL,NULL,Non_Wetland,Water,Water,Grassland
4307,Grassland,Water,NULL,NULL,Non_Wetland,Water,Water,Water
4308,Grassland,Water,NULL,NULL,Non_Wetland,Water,Forest,Grassland
4309,Grassland,Water,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
4310,Grassland,Water,NULL,Water,Non_Wetland,NULL,Water,Water
4311,Grassland,Water,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
4312,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
4313,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
4314,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
4315,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
4316,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
4317,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
4318,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
4319,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Water
4320,Grassland,Water,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
4321,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
4322,Grassland,Water,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
