Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCA_M_R
14420,Forest,Forest,Grassland,Water,Non_Wetland,Forest,NULL,Forest
14421,Forest,Forest,Grassland,Water,Non_Wetland,Forest,Wetland,Forest
14422,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
14423,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
14424,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
14425,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
14426,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
14427,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Water
14428,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
14429,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,NULL
14430,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Grassland
14431,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Cropland
14432,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Shrubland,Forest
14433,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,NULL
14434,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
14435,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Cropland
14436,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Bareland
14437,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Built-up
14438,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
14439,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,NULL
14440,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Grassland
14441,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Cropland
14442,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Wetland
14443,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Bareland
14444,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Built-up
14445,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Water
14446,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Wetland,Forest
14447,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,NULL
14448,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Grassland
14449,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Built-up
14450,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Bareland,Forest
14451,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Grassland
14452,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Cropland
14453,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
14454,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Grassland
14455,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Water
14456,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Water,Forest
14457,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,NULL
14458,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Grassland
14459,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Cropland
14460,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Bareland
14461,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Built-up
14462,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Water
14463,Forest,Forest,Cropland,NULL,Non_Wetland,NULL,Forest,Forest
14464,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,NULL
14465,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Grassland
14466,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,NULL,Forest
14467,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
14468,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
14469,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
14470,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,NULL
14471,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
14472,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Grassland,Forest
14473,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
14474,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Wetland,Forest
14475,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Water,Forest
14476,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,NULL
14477,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Grassland
14478,Forest,Forest,Cropland,NULL,Non_Wetland,Shrubland,Forest,Forest
14479,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,NULL
14480,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
14481,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
14482,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Bareland
14483,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Built-up
14484,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,NULL,Forest
14485,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14486,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
14487,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
14488,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,NULL
14489,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14490,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
14491,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
14492,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
14493,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,NULL
14494,Forest,Forest,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
