Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Water,0,0,0,0,0,0,0,0,0,561,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LPN_M_R,Forest,0,0,0,0,0,179,0,0,0,243,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Grassland,353,479,255,153,130,84,0,507,0,0,21,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Wetland,22,30,8,0,7,9,34,50,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Built-up,54,153,0,42,13,22,139,160,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Forest,0,386,188,389,169,156,369,443,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Cropland,110,0,123,13,11,13,174,191,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Bareland,51,163,218,18,0,15,180,175,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Water,288,248,181,492,162,0,306,437,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Shrubland,17,10,3,0,3,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LPN_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Shrubland,11,75,36,1,1,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Grassland,189,924,330,43,16,297,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Forest,0,420,389,75,0,502,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Bareland,38,198,141,1,0,86,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Built-up,11,108,0,0,7,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Wetland,63,134,66,0,0,157,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Water,78,320,128,48,28,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LPN_M_R,Cropland,19,0,56,3,6,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Shrubland,88,28,0,8,46,20,34,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Cropland,102,0,0,5,115,19,87,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Forest,0,93,0,17,69,66,53,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Bareland,88,37,0,11,0,56,31,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Built-up,186,98,0,3,83,56,44,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Wetland,375,18,0,0,13,101,55,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Water,601,46,0,169,56,0,84,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LPN_M_R,Grassland,511,198,0,113,224,248,0,0,0,0,0,23
