Dataset,MajorityClass,Cropland,Forest,Built-up,Bareland,Wetland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Cropland,0,219,155,473,637,129,568,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Bareland,2,11,7,0,27,1,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Built-up,34,48,0,211,99,10,147,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYR_M_R,Wetland,1,21,0,12,0,110,75,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Grassland,0,0,0,0,0,516,0,0,0,66,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Wetland,0,0,0,0,0,473,0,0,0,188,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Shrubland,0,0,0,0,0,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Cropland,0,0,0,0,0,500,0,0,0,156,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Bareland,0,0,0,0,0,36,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Water,0,0,0,0,0,0,0,0,0,571,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Forest,0,0,0,0,0,723,0,0,0,180,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYR_M_R,Built-up,0,0,0,0,0,53,0,0,0,19,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Grassland,491,483,128,52,35,40,0,475,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYR_M_R,Bareland,168,33,137,0,0,12,0,35,0,0,3,0
