Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KGE_M_R,Bareland,26,13,0,31,7,5,32,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Wetland,0,0,0,0,0,0,5,0,293,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Grassland,0,0,0,0,0,87,29,0,342,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Forest,0,0,0,0,0,320,175,0,1512,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Shrubland,0,0,0,0,0,0,0,0,112,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Built-up,0,0,0,0,0,17,47,0,239,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Cropland,0,0,0,0,0,58,60,0,622,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Bareland,0,0,0,0,0,20,44,0,17,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KGE_M_R,Water,0,0,0,0,0,501,0,0,631,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Grassland,0,0,0,0,0,0,45,0,0,120,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Water,0,0,0,0,0,0,0,0,0,1241,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Forest,0,0,0,0,0,0,253,0,0,490,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Shrubland,0,0,0,0,0,0,6,0,0,24,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Wetland,0,0,0,0,0,0,50,0,0,351,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Cropland,0,0,0,0,0,0,56,0,0,160,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Bareland,0,0,0,0,0,0,28,0,0,85,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Built-up,0,0,0,0,0,0,44,0,0,42,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KGE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Grassland,0,525,7,166,273,87,29,593,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Bareland,0,241,0,188,70,20,44,255,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Built-up,0,364,3,0,145,17,47,388,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Forest,32,1008,53,339,0,320,175,1250,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Wetland,0,32,4,8,43,0,5,109,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Cropland,4,0,12,297,354,58,60,737,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Water,0,654,120,125,476,501,0,757,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Shrubland,0,15,0,5,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KGE_M_R,Permanent_ice_and_snow,0,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Grassland,0,602,0,199,184,7,70,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Bareland,0,298,0,188,7,0,41,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Built-up,0,195,12,0,21,0,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Forest,0,1019,0,659,0,42,664,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KGE_M_R,Shrubland,0,151,0,88,49,0,22,0,0,0,0
