Dataset,MajorityClass,Grassland,Cropland,Bareland,Water,Forest,Built-up,Wetland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Cropland,734,0,296,164,346,176,60,615,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Wetland,52,0,4,217,36,0,0,134,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Bareland,172,0,0,139,66,79,0,169,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Built-up,161,0,121,29,57,0,0,187,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Water,475,0,151,0,423,74,60,743,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Forest,641,0,310,557,0,114,254,1179,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LGJ_M_R,Non_Water,1,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Grassland,0,0,0,155,0,0,0,0,0,84,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Water,0,0,0,0,0,0,0,0,0,978,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Forest,0,0,0,405,0,0,0,0,0,376,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Shrubland,0,0,0,123,0,0,0,0,0,78,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Wetland,0,0,0,145,0,0,0,0,0,92,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Bareland,0,0,0,80,0,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Cropland,0,0,0,127,0,0,0,0,0,58,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LGJ_M_R,Built-up,0,0,0,15,0,0,0,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Grassland,0,505,28,49,352,115,42,572,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Wetland,0,12,2,13,84,0,0,88,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Bareland,7,368,0,79,144,164,22,378,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Forest,215,933,66,230,0,239,216,1029,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Built-up,16,228,5,23,79,0,4,250,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Cropland,63,0,10,42,360,213,29,612,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Water,28,680,106,0,613,66,434,884,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LGJ_M_R,Shrubland,9,51,5,0,54,22,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Grassland,0,801,5,113,221,169,10,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Bareland,0,267,0,104,94,178,4,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Water,0,588,13,0,143,106,61,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Forest,0,895,1,612,0,423,34,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Shrubland,0,358,0,84,139,109,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Wetland,0,218,0,44,54,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LGJ_M_R,Built-up,0,87,8,2,7,0,0,0,0,0,0
