Dataset,MajorityClass,Grassland,Cropland,Forest,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Forest,0,0,0,0,0,0,265,0,0,455,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Wetland,0,0,0,0,0,0,99,0,0,272,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KLS_M_R,Built-up,0,0,0,0,0,0,21,0,0,65,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Grassland,0,659,222,99,121,147,24,598,0,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Bareland,3,247,18,9,0,183,9,132,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Built-up,3,278,66,17,14,0,6,201,0,0,11,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Forest,82,870,0,217,192,200,78,927,0,0,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Cropland,27,0,182,68,45,192,3,496,0,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Wetland,1,142,65,0,13,3,2,132,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Water,17,872,394,481,378,207,0,713,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Shrubland,0,10,4,0,1,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KLS_M_R,Permanent_ice_and_snow,0,4,0,0,0,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Grassland,0,721,166,75,10,196,149,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Built-up,0,119,15,1,4,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Forest,0,871,0,123,8,413,548,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Shrubland,0,56,18,1,0,24,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Wetland,0,229,43,0,0,50,117,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Bareland,0,124,14,0,0,123,46,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Water,0,657,101,108,32,235,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KLS_M_R,Cropland,0,0,77,22,3,204,64,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Wetland,92,25,288,0,4,0,114,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Forest,121,123,0,16,58,0,129,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Shrubland,25,26,98,3,6,0,15,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Cropland,279,0,337,55,119,0,151,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Bareland,9,18,63,0,0,0,46,0,0,0,0,19
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Built-up,76,139,204,2,59,0,79,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23KLS_M_R,Water,109,51,644,140,42,0,0,0,0,0,0,3
