Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Built-up,47,262,30,0,0,119,21,181,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Water,128,850,221,61,0,747,669,669,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Forest,171,468,101,107,31,0,198,244,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Shrubland,32,107,49,23,0,133,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Cropland,85,0,31,125,3,305,44,289,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Wetland,31,117,39,0,4,148,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MXS_M_R,Permanent_ice_and_snow,0,4,1,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Grassland,0,664,4,293,232,214,52,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Water,0,322,7,84,0,51,162,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Shrubland,0,243,1,183,157,114,54,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Bareland,0,152,0,275,83,33,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Built-up,0,63,8,0,5,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Forest,0,286,0,264,252,0,95,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Wetland,0,195,0,53,274,71,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MXS_M_R,Cropland,0,0,2,234,24,80,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Shrubland,108,184,145,0,155,265,151,0,0,0,0,12
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Water,180,140,159,0,0,299,382,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Forest,104,102,51,0,47,0,110,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Cropland,53,0,123,0,59,142,44,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Built-up,16,164,135,0,28,124,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_24MXS_M_R,Wetland,131,110,58,0,111,199,0,0,0,0,0,0
