Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MPN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MPN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MPN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MPN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MPN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MPN_M_R
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
