Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LMQ_M_R
2128,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
2129,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,NULL,Grassland
2130,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2131,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2132,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
2133,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
2134,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
2135,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2136,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2137,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2138,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2139,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2140,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
2141,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2142,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2143,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2144,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2145,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
2146,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2147,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2148,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2149,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
2150,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
2151,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
2152,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
2153,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
2154,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,NULL,Grassland
2155,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2156,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Forest
2157,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2158,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2159,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
2160,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2161,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2162,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2163,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Bareland,Forest
2164,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2165,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2166,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2167,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
2168,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Grassland
2169,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up,Forest,Bareland
2170,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
2171,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Bareland,Forest
2172,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest,Built-up,Forest
2173,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Wetland,Water,Grassland
2174,NULL,Built-up,Grassland,Water,Non_Wetland,Water,Water,Grassland
2175,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,Built-up,Forest
2176,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Grassland
2177,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,NULL,Cropland
2178,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2179,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Shrubland,Forest
2180,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2181,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
2182,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
2183,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
2184,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
2185,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
2186,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
2187,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
2188,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Built-up
2189,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland,Built-up,Forest
2190,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Grassland
2191,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,NULL,Cropland
2192,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Grassland
2193,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Cropland
2194,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Grassland,Bareland
2195,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Grassland
2196,NULL,Built-up,Cropland,NULL,Non_Wetland,Cropland,Bareland,Bareland
2197,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Grassland
2198,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Cropland
2199,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Bareland
2200,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,NULL,Forest
2201,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2202,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
2203,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Shrubland,Forest
2204,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2205,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Bareland
2206,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2207,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Grassland,Forest
2208,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Wetland,Grassland
2209,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2210,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2211,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Built-up
2212,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Water
2213,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
2214,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2215,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Cropland
2216,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Bareland
2217,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Built-up
2218,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Built-up,Forest
2219,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Grassland
2220,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Water,Forest
2221,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Grassland
2222,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Bareland
2223,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Built-up
2224,NULL,Built-up,Cropland,NULL,Non_Wetland,Bareland,Forest,Forest
2225,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Grassland
2226,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,NULL,Cropland
2227,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2228,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2229,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2230,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Grassland
2231,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Built-up
2232,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Grassland,Forest
2233,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Wetland,Grassland
2234,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Grassland
2235,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Bareland
2236,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Built-up
2237,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Bareland,Forest
2238,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2239,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Bareland
2240,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Built-up
2241,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Built-up,Forest
2242,NULL,Built-up,Cropland,NULL,Non_Wetland,Built-up,Forest,Grassland
2243,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
2244,NULL,Built-up,Cropland,NULL,Non_Wetland,Water,Bareland,Bareland
2245,NULL,Built-up,Cropland,Non_Water,Non_Wetland,Bareland,Water,Grassland
2246,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Grassland,Forest
2247,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Bareland,Forest
2248,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Water,Grassland
2249,NULL,Built-up,Wetland,NULL,Wetland,Grassland,Forest,Forest
2250,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Wetland,Grassland
2251,NULL,Built-up,Wetland,NULL,Wetland,Wetland,Bareland,Forest
2252,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Grassland,Grassland
2253,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Grassland
2254,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Bareland,Forest
2255,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Grassland
2256,NULL,Built-up,Wetland,NULL,Wetland,Bareland,Water,Forest
2257,NULL,Built-up,Wetland,NULL,Wetland,Water,Built-up,Forest
2258,NULL,Built-up,Wetland,Non_Water,Wetland,Bareland,Water,Forest
2259,NULL,Built-up,Wetland,Non_Water,Wetland,Forest,Grassland,Forest
2260,NULL,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Bareland
2261,NULL,Built-up,Wetland,Water,Wetland,Bareland,Bareland,Water
2262,NULL,Built-up,Wetland,Water,Wetland,Water,Water,Water
2263,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Grassland,Grassland
2264,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Grassland,Bareland,Grassland
2265,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,Bareland,Grassland,Grassland
2266,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Grassland,Grassland
2267,NULL,Built-up,Bareland,NULL,Non_Wetland,Grassland,Water,Water
2268,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,NULL,Bareland
2269,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Grassland
2270,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Built-up
2271,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Grassland,Forest
2272,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Grassland
2273,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Bareland
2274,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Bareland,Forest
2275,NULL,Built-up,Bareland,NULL,Non_Wetland,Bareland,Built-up,Grassland
2276,NULL,Built-up,Bareland,NULL,Non_Wetland,Built-up,Built-up,Grassland
2277,NULL,Built-up,Bareland,NULL,Non_Wetland,Forest,Grassland,Forest
2278,NULL,Built-up,Bareland,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
2279,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Shrubland,Forest
2280,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Grassland,Forest
2281,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Bareland,Forest
2282,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,Built-up,Forest
2283,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Grassland
2284,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,NULL,Forest
2285,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Grassland
2286,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Shrubland,Forest
2287,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Grassland
2288,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Built-up
2289,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Grassland,Forest
2290,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Grassland
2291,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Wetland,Forest
2292,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Grassland
2293,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Bareland
2294,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Built-up
2295,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Bareland,Forest
2296,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Grassland
2297,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Built-up
2298,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Built-up,Forest
2299,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Water,Forest
2300,NULL,Built-up,Built-up,NULL,Non_Wetland,Grassland,Forest,Grassland
2301,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,NULL,Grassland
2302,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Bareland
2303,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Grassland,Built-up
2304,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Bareland,Grassland
2305,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Grassland
2306,NULL,Built-up,Built-up,NULL,Non_Wetland,Cropland,Built-up,Bareland
2307,NULL,Built-up,Built-up,NULL,Non_Wetland,Wetland,Built-up,Forest
2308,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Grassland
2309,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Bareland
2310,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Built-up
2311,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,NULL,Forest
2312,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2313,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2314,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Shrubland,Forest
2315,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Grassland
2316,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Bareland
2317,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Built-up
2318,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Grassland,Forest
2319,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Wetland,Grassland
2320,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Grassland
2321,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Bareland
2322,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Built-up
2323,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Water
2324,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Bareland,Forest
2325,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Grassland
2326,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Cropland
2327,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Bareland
2328,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Built-up
2329,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Built-up,Forest
2330,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Grassland
2331,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Bareland
2332,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Built-up
2333,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Water,Forest
2334,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Grassland
2335,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Built-up
2336,NULL,Built-up,Built-up,NULL,Non_Wetland,Bareland,Forest,Forest
2337,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,NULL,Grassland
2338,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2339,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Bareland
2340,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Built-up
2341,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Shrubland,Forest
2342,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Grassland
2343,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Bareland
2344,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Built-up
2345,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Grassland,Forest
2346,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Wetland,Grassland
2347,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Grassland
2348,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Built-up
2349,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Bareland,Forest
2350,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Grassland
2351,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Cropland
2352,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Bareland
2353,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Built-up
2354,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Water
2355,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Built-up,Forest
2356,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Grassland
2357,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Built-up
2358,NULL,Built-up,Built-up,NULL,Non_Wetland,Built-up,Forest,Forest
2359,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Bareland,Built-up
2360,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Grassland
2361,NULL,Built-up,Built-up,NULL,Non_Wetland,Water,Built-up,Bareland
2362,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Grassland
2363,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Grassland,Forest
2364,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Bareland,Forest
2365,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Built-up
2366,NULL,Built-up,Built-up,NULL,Non_Wetland,Forest,Built-up,Forest
2367,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Built-up
2368,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Grassland,Forest
2369,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
2370,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
2371,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Bareland,Built-up
2372,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
2373,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Bareland
2374,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Built-up
2375,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Built-up,Forest
2376,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Grassland
2377,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Built-up
2378,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Bareland,Water,Forest
2379,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
2380,NULL,Built-up,Built-up,Non_Water,Non_Wetland,Built-up,Built-up,Built-up
2381,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Grassland
2382,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Bareland
2383,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Built-up
2384,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Water
2385,NULL,Built-up,Built-up,Water,Non_Wetland,Bareland,Bareland,Forest
2386,NULL,Built-up,Water,NULL,Water,Bareland,Shrubland,Grassland
2387,NULL,Built-up,Water,NULL,Water,Bareland,Grassland,Bareland
2388,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Bareland
2389,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Built-up
2390,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Water
2391,NULL,Built-up,Water,NULL,Water,Bareland,Bareland,Forest
2392,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Bareland
2393,NULL,Built-up,Water,NULL,Water,Bareland,Built-up,Built-up
2394,NULL,Built-up,Water,NULL,Water,Bareland,Forest,Bareland
2395,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Grassland
2396,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Bareland
2397,NULL,Built-up,Water,NULL,Water,Built-up,Built-up,Built-up
2398,NULL,Built-up,Water,Non_Water,Water,Bareland,Bareland,Grassland
2399,NULL,Built-up,Water,Non_Water,Water,Bareland,Bareland,Built-up
2400,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Grassland
2401,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Bareland
2402,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Water
2403,NULL,Built-up,Water,Water,Water,Bareland,Bareland,Forest
2404,NULL,Built-up,Water,Water,Water,Bareland,Water,Water
2405,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Shrubland,Forest
2406,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Grassland,Forest
2407,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Bareland,Forest
2408,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,Built-up,Forest
2409,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Shrubland,Forest
2410,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Grassland
2411,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Grassland,Forest
2412,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Wetland,Forest
2413,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Grassland
2414,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Bareland,Forest
2415,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Grassland
2416,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Built-up,Forest
2417,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Water,Forest
2418,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Grassland
2419,NULL,Built-up,Forest,NULL,Non_Wetland,Grassland,Forest,Forest
2420,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Bareland,Forest
2421,NULL,Built-up,Forest,NULL,Non_Wetland,Wetland,Built-up,Forest
2422,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Grassland
2423,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Built-up
2424,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Shrubland,Forest
2425,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Grassland
2426,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Built-up
2427,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Grassland,Forest
2428,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Grassland
2429,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Bareland
2430,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Built-up
2431,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Bareland,Forest
2432,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Grassland
2433,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Built-up
2434,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Built-up,Forest
2435,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Water,Grassland
2436,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Grassland
2437,NULL,Built-up,Forest,NULL,Non_Wetland,Bareland,Forest,Forest
2438,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Shrubland,Grassland
2439,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Grassland
2440,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Bareland
2441,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Built-up
2442,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Grassland,Forest
2443,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Wetland,Grassland
2444,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Grassland
2445,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Built-up
2446,NULL,Built-up,Forest,NULL,Non_Wetland,Built-up,Bareland,Forest
