,WorldCover_2021,ESRI_Annual_LULC_2024,GLC_FCS30D_2022,GWL_FCS30D_2022,GSW_Yearly_2021,DynamicWorld_2024,meta,tile_id,MapBiomas_Collection10_2024,MapBiomas_10mbeta_2023
332,760,517,821,851,318,672,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGG_M_R': 672, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGG_M_R': 517, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGG_M_R': 821, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGG_M_R': 318, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGG_M_R': 851, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGG_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGG_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NGG_M_R': 760}",19NGG,0.0,0.0
333,2002,1465,2126,2173,1296,1759,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGH_M_R': 1759, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGH_M_R': 1465, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGH_M_R': 2126, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGH_M_R': 1296, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGH_M_R': 2173, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGH_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NGH_M_R': 2002}",19NGH,,0.0
334,2688,2011,2691,2795,1777,2344,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGJ_M_R': 2344, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGJ_M_R': 2011, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGJ_M_R': 2691, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGJ_M_R': 1777, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGJ_M_R': 2795, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGJ_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NGJ_M_R': 2688}",19NGJ,,0.0
335,1443,1018,1470,1531,635,1181,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGE_M_R': 1181, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGE_M_R': 1018, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGE_M_R': 1470, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGE_M_R': 635, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGE_M_R': 1531, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGE_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGE_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NGE_M_R': 1443}",19NGE,0.0,0.0
336,917,494,984,1036,90,925,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHB_M_R': 925, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHB_M_R': 494, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHB_M_R': 984, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHB_M_R': 90, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHB_M_R': 1036, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHB_M_R': 623, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHB_M_R': 285, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHB_M_R': 917}",19NHB,285.0,623.0
337,771,504,784,810,286,646,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHD_M_R': 646, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHD_M_R': 504, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHD_M_R': 784, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHD_M_R': 286, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHD_M_R': 810, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHD_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHD_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHD_M_R': 771}",19NHD,0.0,0.0
338,925,627,1023,1049,518,862,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHG_M_R': 862, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHG_M_R': 627, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHG_M_R': 1023, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHG_M_R': 518, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHG_M_R': 1049, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHG_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHG_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHG_M_R': 925}",19NHG,0.0,0.0
339,2706,1863,2820,2958,468,2629,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHA_M_R': 2629, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHA_M_R': 1863, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHA_M_R': 2820, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHA_M_R': 468, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHA_M_R': 2958, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHA_M_R': 2548, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHA_M_R': 2366, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHA_M_R': 2706}",19NHA,2366.0,2548.0
340,720,504,749,779,277,637,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHE_M_R': 637, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHE_M_R': 504, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHE_M_R': 749, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHE_M_R': 277, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHE_M_R': 779, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHE_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHE_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHE_M_R': 720}",19NHE,0.0,0.0
341,405,256,420,437,152,361,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHC_M_R': 361, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHC_M_R': 256, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHC_M_R': 420, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHC_M_R': 152, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHC_M_R': 437, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHC_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHC_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHC_M_R': 405}",19NHC,0.0,0.0
342,925,581,995,1030,531,813,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHH_M_R': 813, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHH_M_R': 581, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHH_M_R': 995, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHH_M_R': 531, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHH_M_R': 1030, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHH_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHH_M_R': 925}",19NHH,,0.0
343,3113,2560,3082,3437,1754,2931,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLA_M_R': 2931, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLA_M_R': 2560, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLA_M_R': 3082, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLA_M_R': 1754, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLA_M_R': 3437, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLA_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLA_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLA_M_R': 3113}",20KLA,0.0,0.0
344,2309,1646,2316,2407,1389,1955,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHJ_M_R': 1955, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHJ_M_R': 1646, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHJ_M_R': 2316, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHJ_M_R': 1389, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHJ_M_R': 2407, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHJ_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHJ_M_R': 2309}",19NHJ,,0.0
345,1181,865,1255,1295,594,1039,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NHF_M_R': 1039, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NHF_M_R': 865, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NHF_M_R': 1255, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NHF_M_R': 594, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NHF_M_R': 1295, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NHF_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NHF_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NHF_M_R': 1181}",19NHF,0.0,0.0
346,2974,2435,3059,3386,1672,2858,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLB_M_R': 2858, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLB_M_R': 2435, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLB_M_R': 3059, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLB_M_R': 1672, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLB_M_R': 3386, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLB_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLB_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLB_M_R': 2974}",20KLB,0.0,0.0
347,2179,1729,2229,2498,1125,2116,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLC_M_R': 2116, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLC_M_R': 1729, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLC_M_R': 2229, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLC_M_R': 1125, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLC_M_R': 2498, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLC_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLC_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLC_M_R': 2179}",20KLC,0.0,0.0
348,2122,1659,2136,2405,1034,2001,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLD_M_R': 2001, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLD_M_R': 1659, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLD_M_R': 2136, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLD_M_R': 1034, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLD_M_R': 2405, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLD_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLD_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLD_M_R': 2122}",20KLD,0.0,0.0
349,2085,1682,2196,2452,1060,2051,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLE_M_R': 2051, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLE_M_R': 1682, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLE_M_R': 2196, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLE_M_R': 1060, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLE_M_R': 2452, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLE_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLE_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLE_M_R': 2085}",20KLE,0.0,0.0
350,3677,2920,3586,4012,2025,3406,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLF_M_R': 3406, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLF_M_R': 2920, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLF_M_R': 3586, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLF_M_R': 2025, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLF_M_R': 4012, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLF_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLF_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLF_M_R': 3677}",20KLF,0.0,0.0
351,1803,1420,1832,2075,807,1684,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKE_M_R': 1684, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKE_M_R': 1420, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKE_M_R': 1832, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKE_M_R': 807, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKE_M_R': 2075, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKE_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKE_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KKE_M_R': 1803}",20KKE,0.0,0.0
352,3873,3218,3870,4316,2373,3627,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLV_M_R': 3627, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLV_M_R': 3218, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLV_M_R': 3870, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLV_M_R': 2373, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLV_M_R': 4316, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLV_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLV_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLV_M_R': 3873}",20KLV,0.0,0.0
353,1325,910,1377,1555,541,1307,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKC_M_R': 1307, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKC_M_R': 910, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKC_M_R': 1377, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKC_M_R': 541, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKC_M_R': 1555, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKC_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKC_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KKC_M_R': 1325}",20KKC,0.0,0.0
354,4567,3635,4352,4879,2789,4237,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KLG_M_R': 4237, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KLG_M_R': 3635, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KLG_M_R': 4352, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KLG_M_R': 2789, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KLG_M_R': 4879, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KLG_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KLG_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KLG_M_R': 4567}",20KLG,0.0,0.0
355,1610,1166,1643,1832,719,1439,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKD_M_R': 1439, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKD_M_R': 1166, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKD_M_R': 1643, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKD_M_R': 719, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKD_M_R': 1832, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKD_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKD_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KKD_M_R': 1610}",20KKD,0.0,0.0
356,2844,2175,2791,3155,1510,2644,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKF_M_R': 2644, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKF_M_R': 2175, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKF_M_R': 2791, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKF_M_R': 1510, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKF_M_R': 3155, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKF_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKF_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KKF_M_R': 2844}",20KKF,0.0,0.0
357,2617,2120,2585,2916,1355,2475,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMA_M_R': 2475, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMA_M_R': 2120, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMA_M_R': 2585, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMA_M_R': 1355, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMA_M_R': 2916, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMA_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMA_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMA_M_R': 2617}",20KMA,0.0,0.0
358,754,525,800,831,364,669,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGF_M_R': 669, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGF_M_R': 525, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGF_M_R': 800, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGF_M_R': 364, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGF_M_R': 831, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGF_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGF_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_19NGF_M_R': 754}",19NGF,0.0,0.0
359,4374,3600,4191,4740,2737,4096,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KKG_M_R': 4096, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KKG_M_R': 3600, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KKG_M_R': 4191, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KKG_M_R': 2737, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KKG_M_R': 4740, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KKG_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KKG_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KKG_M_R': 4374}",20KKG,0.0,0.0
360,2948,2505,3117,3473,1849,2956,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMB_M_R': 2956, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMB_M_R': 2505, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMB_M_R': 3117, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMB_M_R': 1849, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMB_M_R': 3473, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMB_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMB_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMB_M_R': 2948}",20KMB,0.0,0.0
361,2598,2037,2640,2949,1548,2494,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMC_M_R': 2494, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMC_M_R': 2037, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMC_M_R': 2640, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMC_M_R': 1548, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMC_M_R': 2949, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMC_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMC_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMC_M_R': 2598}",20KMC,0.0,0.0
362,2417,1928,2467,2719,1269,2337,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMD_M_R': 2337, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMD_M_R': 1928, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMD_M_R': 2467, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMD_M_R': 1269, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMD_M_R': 2719, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMD_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMD_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMD_M_R': 2417}",20KMD,0.0,0.0
363,3191,2759,3412,3830,2190,3344,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNA_M_R': 3344, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNA_M_R': 2759, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNA_M_R': 3412, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNA_M_R': 2190, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNA_M_R': 3830, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNA_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNA_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KNA_M_R': 3191}",20KNA,0.0,0.0
364,2913,2534,3045,3401,1811,2912,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KME_M_R': 2912, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KME_M_R': 2534, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KME_M_R': 3045, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KME_M_R': 1811, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KME_M_R': 3401, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KME_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KME_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KME_M_R': 2913}",20KME,0.0,0.0
365,4154,3433,4104,4555,2234,3918,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMF_M_R': 3918, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMF_M_R': 3433, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMF_M_R': 4104, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMF_M_R': 2234, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMF_M_R': 4555, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMF_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMF_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMF_M_R': 4154}",20KMF,0.0,0.0
366,1760,1423,1918,2164,1106,1821,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KNB_M_R': 1821, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KNB_M_R': 1423, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KNB_M_R': 1918, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KNB_M_R': 1106, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KNB_M_R': 2164, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KNB_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KNB_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KNB_M_R': 1760}",20KNB,0.0,0.0
367,4444,3752,4484,5026,2802,4390,"{'AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMG_M_R': 4390, 'AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMG_M_R': 3752, 'AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMG_M_R': 4484, 'AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMG_M_R': 2802, 'AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMG_M_R': 5026, 'AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMG_M_R': 0, 'AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMG_M_R': 0, 'AMAZON_EXTENSION_2024_WorldCover_2021_20KMG_M_R': 4444}",20KMG,0.0,0.0
