Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MVD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MVD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MVD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MVD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MVD_M_R
67,NULL,Built-up,Forest,Non_Water,Non_Wetland,Grassland
68,NULL,Built-up,Forest,Non_Water,Non_Wetland,Forest
69,NULL,Built-up,Forest,Water,Non_Wetland,Forest
70,NULL,Water,Shrubland,NULL,Non_Wetland,Grassland
71,NULL,Water,Shrubland,NULL,Non_Wetland,Forest
72,NULL,Water,Wetland,NULL,Wetland,Water
73,NULL,Water,Wetland,NULL,Wetland,Forest
74,NULL,Water,Wetland,Non_Water,Wetland,Water
75,NULL,Water,Wetland,Non_Water,Wetland,Forest
76,NULL,Water,Wetland,Water,Wetland,Water
77,NULL,Water,Wetland,Water,Wetland,Forest
78,NULL,Water,Bareland,Water,Non_Wetland,Water
79,NULL,Water,Water,Water,Water,Water
80,NULL,Water,Forest,NULL,Non_Wetland,Forest
81,NULL,Water,Forest,Water,Non_Wetland,Water
82,NULL,Water,Forest,Water,Non_Wetland,Forest
83,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Forest,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Forest,Shrubland,NULL,Non_Wetland,Forest
86,NULL,Forest,Cropland,NULL,Non_Wetland,Grassland
87,NULL,Forest,Cropland,NULL,Non_Wetland,Forest
88,NULL,Forest,Wetland,NULL,Wetland,NULL
89,NULL,Forest,Wetland,NULL,Wetland,Grassland
90,NULL,Forest,Wetland,NULL,Wetland,Wetland
91,NULL,Forest,Wetland,NULL,Wetland,Forest
92,NULL,Forest,Wetland,Non_Water,Wetland,Grassland
93,NULL,Forest,Wetland,Non_Water,Wetland,Forest
94,NULL,Forest,Wetland,Water,Wetland,Water
95,NULL,Forest,Forest,NULL,Non_Wetland,Grassland
96,NULL,Forest,Forest,NULL,Non_Wetland,Bareland
97,NULL,Forest,Forest,NULL,Non_Wetland,Built-up
98,NULL,Forest,Forest,NULL,Non_Wetland,Forest
99,NULL,Forest,Forest,Non_Water,Non_Wetland,Grassland
100,NULL,Forest,Forest,Non_Water,Non_Wetland,Forest
101,NULL,Forest,Forest,Water,Non_Wetland,Water
102,NULL,Forest,Forest,Water,Non_Wetland,Forest
103,Grassland,NULL,Shrubland,NULL,Non_Wetland,Grassland
104,Grassland,NULL,Shrubland,NULL,Non_Wetland,Forest
105,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
106,Grassland,NULL,Grassland,NULL,Non_Wetland,Grassland
107,Grassland,NULL,Grassland,NULL,Non_Wetland,Forest
108,Grassland,NULL,Grassland,Non_Water,Non_Wetland,Grassland
109,Grassland,NULL,Cropland,NULL,Non_Wetland,Grassland
110,Grassland,NULL,Wetland,NULL,Wetland,NULL
111,Grassland,NULL,Wetland,NULL,Wetland,Grassland
112,Grassland,NULL,Wetland,NULL,Wetland,Forest
113,Grassland,NULL,Wetland,Non_Water,Wetland,Grassland
114,Grassland,NULL,Wetland,Non_Water,Wetland,Water
115,Grassland,NULL,Wetland,Water,Wetland,Water
116,Grassland,NULL,Bareland,Water,Non_Wetland,Water
117,Grassland,NULL,Built-up,NULL,Non_Wetland,Grassland
118,Grassland,NULL,Built-up,Water,Non_Wetland,Water
119,Grassland,NULL,Water,Water,Water,Grassland
120,Grassland,NULL,Water,Water,Water,Water
121,Grassland,NULL,Forest,NULL,Non_Wetland,Grassland
122,Grassland,NULL,Forest,NULL,Non_Wetland,Forest
123,Grassland,NULL,Forest,Non_Water,Non_Wetland,Grassland
124,Grassland,Wetland,Wetland,NULL,Wetland,Water
125,Grassland,Wetland,Wetland,Non_Water,Wetland,Grassland
126,Grassland,Bareland,Wetland,Water,Wetland,Water
127,Grassland,Bareland,Water,Water,Water,Water
128,Grassland,Built-up,Shrubland,NULL,Non_Wetland,Grassland
129,Grassland,Built-up,Cropland,NULL,Non_Wetland,Grassland
130,Grassland,Built-up,Forest,NULL,Non_Wetland,Grassland
