Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KKT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KKT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KKT_M_R
16210,Forest,NULL,Water,NULL,Water,Bareland,Water,Forest
16211,Forest,NULL,Water,NULL,Water,Forest,NULL,Water
16212,Forest,NULL,Water,NULL,Water,Forest,NULL,Forest
16213,Forest,NULL,Water,NULL,Water,Forest,Shrubland,Forest
16214,Forest,NULL,Water,NULL,Water,Forest,Grassland,Forest
16215,Forest,NULL,Water,NULL,Water,Forest,Wetland,Wetland
16216,Forest,NULL,Water,NULL,Water,Forest,Wetland,Forest
16217,Forest,NULL,Water,NULL,Water,Forest,Water,Water
16218,Forest,NULL,Water,NULL,Water,Forest,Water,Forest
16219,Forest,NULL,Water,NULL,Water,Forest,Forest,Water
16220,Forest,NULL,Water,NULL,Water,Forest,Forest,Forest
16221,Forest,NULL,Water,Non_Water,Water,NULL,NULL,Forest
16222,Forest,NULL,Water,Non_Water,Water,Shrubland,Water,Grassland
16223,Forest,NULL,Water,Non_Water,Water,Wetland,NULL,Grassland
16224,Forest,NULL,Water,Non_Water,Water,Wetland,Water,Forest
16225,Forest,NULL,Water,Non_Water,Water,Bareland,Shrubland,NULL
16226,Forest,NULL,Water,Non_Water,Water,Bareland,Shrubland,Forest
16227,Forest,NULL,Water,Non_Water,Water,Forest,NULL,Forest
16228,Forest,NULL,Water,Non_Water,Water,Forest,Forest,Wetland
16229,Forest,NULL,Water,Non_Water,Water,Forest,Forest,Forest
16230,Forest,NULL,Water,Water,Water,NULL,NULL,Water
16231,Forest,NULL,Water,Water,Water,NULL,Wetland,Water
16232,Forest,NULL,Water,Water,Water,NULL,Water,Grassland
16233,Forest,NULL,Water,Water,Water,NULL,Water,Forest
16234,Forest,NULL,Water,Water,Water,NULL,Forest,Water
16235,Forest,NULL,Water,Water,Water,Shrubland,Water,Grassland
16236,Forest,NULL,Water,Water,Water,Wetland,Wetland,Forest
16237,Forest,NULL,Water,Water,Water,Wetland,Water,Grassland
16238,Forest,NULL,Water,Water,Water,Wetland,Water,Water
16239,Forest,NULL,Water,Water,Water,Bareland,Water,Water
16240,Forest,NULL,Water,Water,Water,Bareland,Water,Forest
16241,Forest,NULL,Water,Water,Water,Water,Water,NULL
16242,Forest,NULL,Water,Water,Water,Water,Water,Water
16243,Forest,NULL,Water,Water,Water,Water,Water,Forest
16244,Forest,NULL,Water,Water,Water,Water,Forest,Water
16245,Forest,NULL,Water,Water,Water,Water,Forest,Forest
16246,Forest,NULL,Water,Water,Water,Forest,NULL,Water
16247,Forest,NULL,Water,Water,Water,Forest,NULL,Forest
16248,Forest,NULL,Water,Water,Water,Forest,Wetland,Water
16249,Forest,NULL,Water,Water,Water,Forest,Water,Forest
16250,Forest,NULL,Water,Water,Water,Forest,Forest,Water
16251,Forest,NULL,Water,Water,Water,Forest,Forest,Forest
16252,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
16253,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
16254,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
16255,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
16256,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
16257,Forest,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
16258,Forest,NULL,Forest,NULL,Non_Wetland,NULL,Shrubland,NULL
