Dataset,MajorityClass,Bareland,Built-up,Forest,Cropland,Wetland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KMP_M_R,Permanent_ice_and_snow,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Grassland,0,0,0,0,24,13,0,135,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Wetland,0,0,0,0,0,0,0,139,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Water,0,0,0,0,434,0,0,130,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Shrubland,0,0,0,0,0,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Cropland,0,0,0,0,1,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Built-up,0,0,0,0,66,5,0,98,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Forest,0,0,0,0,190,55,0,415,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KMP_M_R,Bareland,0,0,0,0,52,2,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Grassland,0,0,0,0,0,48,0,0,83,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Water,0,0,0,0,0,0,0,0,638,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Forest,0,0,0,0,0,281,0,0,283,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Shrubland,0,0,0,0,0,3,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Bareland,0,0,0,0,0,54,0,0,40,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Cropland,0,0,0,0,0,4,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Wetland,0,0,0,0,0,34,0,0,60,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Built-up,0,0,0,0,0,74,0,0,72,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KMP_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,5,0,0,0
