Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUB_M_R
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
