Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Cropland,Wetland,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Built-up,7,0,9,5,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Cropland,19,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MYS_M_R,Permanent_ice_and_snow,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Cropland,17,0,1,49,0,2,32,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Forest,0,0,73,114,119,27,100,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Wetland,471,0,247,71,13,0,155,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Bareland,37,0,13,0,13,0,9,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Water,384,0,0,127,3,104,58,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Built-up,49,0,6,2,15,0,5,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21MYS_M_R,Grassland,316,0,106,131,130,49,0,0,0,0,0,3
