Value,AFRICA_2024_DynamicWorld_2024_37NCD_M_R,AFRICA_2024_ESRI_Annual_LULC_2024_37NCD_M_R,AFRICA_2024_GLC_FCS30D_2022_37NCD_M_R,AFRICA_2024_GSW_Yearly_2021_37NCD_M_R,AFRICA_2024_GWL_FCS30D_2022_37NCD_M_R,AFRICA_2024_WorldCover_2021_37NCD_M_R
421,Forest,Cropland,Bareland,NULL,Non_Wetland,Forest
422,Forest,Forest,NULL,NULL,Non_Wetland,NULL
423,Forest,Forest,NULL,NULL,Non_Wetland,Grassland
424,Forest,Forest,NULL,NULL,Non_Wetland,Forest
425,Forest,Forest,Shrubland,NULL,Non_Wetland,NULL
426,Forest,Forest,Shrubland,NULL,Non_Wetland,Grassland
427,Forest,Forest,Shrubland,NULL,Non_Wetland,Forest
428,Forest,Forest,Grassland,NULL,Non_Wetland,NULL
429,Forest,Forest,Grassland,NULL,Non_Wetland,Grassland
430,Forest,Forest,Cropland,NULL,Non_Wetland,NULL
431,Forest,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL
432,Forest,Forest,Bareland,NULL,Non_Wetland,NULL
433,Forest,Forest,Bareland,NULL,Non_Wetland,Grassland
434,Forest,Forest,Bareland,NULL,Non_Wetland,Forest
435,Forest,Forest,Built-up,NULL,Non_Wetland,NULL
436,Forest,Forest,Forest,NULL,Non_Wetland,NULL
437,Forest,Forest,Forest,NULL,Non_Wetland,Grassland
438,Forest,Forest,Forest,NULL,Non_Wetland,Forest
